Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
58,FORSA,145.6,-,0.6,Tone,127.3,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3YZ/R | RV48 | Forsa | D3,,,,
59,SODERH,145.75,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3RYK | RV60 | Söderhamn | D3,,,,
60,FORSAS,145.675,-,0.6,Tone,127.3,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3RQE | RV54 | Forsa / Storberget | SvxReflector | D3,,,,
61,HUDIKS,145.7125,-,0.6,Tone,127.3,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3RHU | RV57 | Hudiksvall | Brandmeister | D3,,,,
62,OSTERS,145.7875,-,0.6,Tone,127.3,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3JR/R2 | RV63 | Östersund / Brattåsen | SvxReflector | D3,,,,
63,OSTER1,145.75,-,0.6,Tone,127.3,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3JR/R | RV60 | Östersund | D3,,,,
64,BORGSJ,145.7,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3RIN | RV56 | Borgsjö | SvxReflector | D3,,,,
65,RAFTSJ,145.6875,-,0.6,Tone,127.3,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3JR | RV55 | Raftsjöhöjden | D3,,,,
66,HOTING,145.6,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3RMX | RV48 | Hoting / Kyrktåsjö | D3,,,,
67,NAN,145.6,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3RQE | RV48 | SvxReflector | D3,,,,
68,SUNDSV,145.725,-,0.6,Tone,127.3,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3RFG | RV58 | Sundsvall | SvxReflector / Echolink | D3,,,,
69,SOLLEF,145.65,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3EK/R | RV52 | Sollefteå | D3,,,,
70,NYLAND,145.75,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SM3VAC/R | RV60 | Nyland | D3,,,,
71,NORDIN,145.625,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3MF/R | RV50 | Nordingrå / Rävsön | D3,,,,
72,ORNSKO,145.775,-,0.6,Tone,110.9,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK3RKL | RV62 | Örnsköldsvik | SvxReflector | D3,,,,
73,ARJANG,145.725,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK4RQF | RV58 | Årjäng | D4,,,,
74,KARLST,145.575,-,0.6,Tone,74.4,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK4AV | RV46 | Karlstad | SvxReflector | D4,,,,
75,SUNNEB,145.775,-,0.6,Tone,74.4,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK4RJJ | RV62 | Sunne / Blåbärskullen | D4,,,,
76,TORSBY,145.2875,-,0.6,Tone,74.4,88.5,23,NN,23,Tone->Tone,NFM,5.0,S,25W,SK4RJJ | Torsby / Hovfjället | D4,,,,
77,HAGFOR,145.675,-,0.6,Tone,114.8,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK4HV/R | RV54 | Hagfors / Värmullsåsen | Echolink | D4,,,,
78,SALENL,145.6,-,0.6,Tone,85.4,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK4KO | RV48 | Sälen / Lindvallen | SvxReflector | D4,,,,
79,VANSBR,145.65,-,0.6,Tone,85.4,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK4WV | RV52 | Vansbro | D4,,,,
80,NYBBLE,145.3,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,S,25W,SM4FBD | Nybble | SvxReflector | D4,,,,
81,KARLSK,145.75,-,0.6,Tone,74.4,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK4RKD | RV60 | Karlskoga | Brandmeister | D4,,,,
82,OREBRO,145.7125,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK4TL/R | RV57 | Örebro / Suttarboda | SvxReflector | D4,,,,
83,GARPHY,145.65,-,0.6,Tone,74.4,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK4BX/R | RV52 | Garphyttan / Storstenshöjden | D4,,,,
84,LINDES,145.6875,-,0.6,Tone,74.4,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK4EA/R | RV55 | Lindesberg | D4,,,,
85,LINDE1,145.3,-,0.6,Tone,136.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,S,25W,SK4EA-L | Lindesberg | SvxReflector | D4,,,,
86,KOPPAR,145.6,-,0.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5.0,,25W,SK4EA/R | RV48 | Kopparberg | D4,,,,
